lat,lon,date,label,sample_id
35.87141,-118.52146,2021-10-02,fire,sample_00000
40.786675253333655,-114.2498366542249,2021-10-12,normal,sample_00001
34.97663497491421,-123.00651900284139,2021-07-08,normal,sample_00002
41.16273,-122.98251,2021-08-19,fire,sample_00003
38.65837,-120.15768,2021-08-30,fire,sample_00004
38.69101,-120.53333,2021-08-17,fire,sample_00005
40.58791,-123.2879,2021-09-08,fire,sample_00006
36.76567664529501,-116.60634374174462,2021-10-16,normal,sample_00007
40.60596,-121.43899,2021-09-11,fire,sample_00008
40.22571560653215,-121.98575074145039,2021-07-31,normal,sample_00009
41.5162,-121.88198,2021-08-08,fire,sample_00010
40.48209,-121.33129,2021-08-18,fire,sample_00011
40.67948,-123.21802,2021-08-17,fire,sample_00012
32.90063421930756,-121.69590949813421,2021-07-17,normal,sample_00013
33.354653350174,-120.27247653792618,2021-08-13,normal,sample_00014
41.09993,-122.84601,2021-09-03,fire,sample_00015
36.5689,-118.80976,2021-09-13,fire,sample_00016
40.18059,-120.76908,2021-08-10,fire,sample_00017
40.84401,-123.2559,2021-08-27,fire,sample_00018
36.07159,-118.62749,2021-09-21,fire,sample_00019
36.53472,-118.67391,2021-10-01,fire,sample_00020
39.737498594339066,-117.9332082074774,2021-10-06,normal,sample_00021
34.25794743820228,-116.74465113815602,2021-08-05,normal,sample_00022
35.23105713453933,-117.09317788577853,2021-08-23,normal,sample_00023
32.92546051615205,-117.63871737320919,2021-09-21,normal,sample_00024
35.33199561117023,-117.06580590003418,2021-07-17,normal,sample_00025
38.69139,-120.52371,2021-08-17,fire,sample_00026
41.10139,-122.82719,2021-09-01,fire,sample_00027
34.446944394462314,-117.56550455948361,2021-07-21,normal,sample_00028
39.59691575504292,-117.4584007034535,2021-08-16,normal,sample_00029
40.471788785558346,-119.26705720057446,2021-09-30,normal,sample_00030
37.34665,-119.85297,2021-07-12,fire,sample_00031
35.99773,-118.72773,2021-10-05,fire,sample_00032
38.81448,-120.19539,2021-08-31,fire,sample_00033
41.21589,-122.94469,2021-09-01,fire,sample_00034
